id,AthleteName,Nationality,LowHighPD,Gender,OlympicParalympic,WinLoss,Condition
img_0037,Beatriz Souza,BRA,High,Female,Olympic,Win,Image_Slider
img_0003,Shirine Boukli,FRA,High,Female,Olympic,Win,Image_Slider
img_0018,Eteri Liparteliani,GEO,High,Female,Olympic,Loss,Image_Slider
img_0036,Rika Takayama,JPN,High,Female,Olympic,Loss,Image_Slider
img_0121,Alana Maldanado,BRA,High,Female,Paralympic,Win,Image_Slider
img_0103,Anastasiia Harnyk,UKR,High,Female,Paralympic,Win,Image_Slider
img_0128,Sheyla Hernandez Estupinan,CUB,High,Female,Paralympic,Loss,Image_Slider
img_0113,Yuliia Ivanytska,UKR,High,Female,Paralympic,Loss,Image_Slider
img_0052,Denis Vieru,MDA,High,Male,Olympic,Win,Image_Slider
img_0049,Hifumi Abe,JPN,High,Male,Olympic,Win,Image_Slider
img_0080,Minjong Kim,KOR,High,Male,Olympic,Loss,Image_Slider
img_0503,Ronald Kwemoi,KEN,High,Male,Olympic,Loss,Image_Slider
img_0172,Marcelo Casanova,BRA,High,Male,Paralympic,Win,Image_Slider
img_0171,Davurkhon Karamatov,UZB,High,Male,Paralympic,Win,Image_Slider
img_0170,Helios Latchoumanaya,FRA,High,Male,Paralympic,Loss,Image_Slider
img_0134,Mexsam Banitaba,IRI,High,Male,Paralympic,Loss,Image_Slider
img_0013,Christa Deguchi,CAN,Low,Female,Olympic,Win,Image_Slider
img_0447,Sunisa Lee,USA,Low,Female,Olympic,Win,Image_Slider
img_0441,Annette Nneka Echikunwoke,USA,Low,Female,Olympic,Loss,Image_Slider
img_0035,Anna-Maria Wagner,GER,Low,Female,Olympic,Loss,Image_Slider
img_0469,Samantha Kinghorn,GBR,Low,Female,Paralympic,Win,Image_Slider
img_0494,Natalija Eder,AUT,Low,Female,Paralympic,Win,Image_Slider
img_0089,Rocio Ledesma Dure,ARG,Low,Female,Paralympic,Loss,Image_Slider
img_0226,Zoe Newson,GBR,Low,Female,Paralympic,Loss,Image_Slider
img_0357,Stephen Nedoroscik,USA,Low,Male,Olympic,Win,Image_Slider
img_0328,Nethaneel Mitchell-Blake,GBR,Low,Male,Olympic,Win,Image_Slider
img_0077,Daniel Eich,SUI,Low,Male,Olympic,Loss,Image_Slider
img_0347,Bence Halasz,HUN,Low,Male,Olympic,Loss,Image_Slider
img_0397,Blake Leeper,USA,Low,Male,Paralympic,Win,Image_Slider
img_0385,Reece Langdon,AUS,Low,Male,Paralympic,Win,Image_Slider
img_0378,Daniel Wagner,DEN,Low,Male,Paralympic,Loss,Image_Slider
img_0384,Nate Riech,CAN,Low,Male,Paralympic,Loss,Image_Slider
vid_0448,Simone Biles,USA,Low,Female,Olympic,Win,Video_Slider
vid_0199,Emily Jade Campbell,GBR,Low,Female,Olympic,Win,Video_Slider
vid_0026,Miriam Butkereit,GER,Low,Female,Olympic,Loss,Video_Slider
vid_0032,Inbar Lanir,ISR,Low,Female,Olympic,Loss,Video_Slider
vid_0481,Susannah Scaroni,USA,Low,Female,Paralympic,Win,Video_Slider
vid_0471,Martina Caironi,ITA,Low,Female,Paralympic,Win,Video_Slider
vid_0092,Maria Liana Mutia,USA,Low,Female,Paralympic,Loss,Video_Slider
vid_0475,Kimberly Alkemade,NED,Low,Female,Paralympic,Loss,Video_Slider
vid_0075,Peter Paltchik,ISR,Low,Male,Olympic,Win,Video_Slider
vid_0321,Brendon Rodney,CAN,Low,Male,Olympic,Win,Video_Slider
vid_0355,Jake Jarman,GBR,Low,Male,Olympic,Loss,Video_Slider
vid_0312_Loss,Jakob Ingebrigsen,NOR,Low,Male,Olympic,Loss,Video_Slider
vid_0400,Jeremy Campbell,USA,Low,Male,Paralympic,Win,Video_Slider
vid_0368,Jaydin Blackwell,USA,Low,Male,Paralympic,Win,Video_Slider
vid_0362,Salum Ageze Kashafali,NOR,Low,Male,Paralympic,Loss,Video_Slider
vid_0174,Simone Cannizzaro,ITA,Low,Male,Paralympic,Loss,Video_Slider
vid_0185,Shifang Luo,CHN,High,Female,Olympic,Win,Video_Slider
vid_0015,Haruka Funakubo,JPN,High,Female,Olympic,Win,Video_Slider
vid_0041,Kayra Ozdemir,TUR,High,Female,Olympic,Loss,Video_Slider
vid_0005,Laura Martinez Abelenda,ESP,High,Female,Olympic,Loss,Video_Slider
vid_0129,Wang Hongyu,CHN,High,Female,Paralympic,Win,Video_Slider
vid_0124,Ina Kaldani,GEO,High,Female,Paralympic,Win,Video_Slider
vid_0125,Kelly Victorio,BRA,High,Female,Paralympic,Loss,Video_Slider
vid_0131,Duesadaf Karimova,AZE,High,Female,Paralympic,Loss,Video_Slider
vid_0051,Gusmann Kyrgyzbayev,KAZ,High,Male,Olympic,Win,Video_Slider
vid_0079,Teddy Riner,FRA,High,Male,Olympic,Win,Video_Slider
vid_0060,Akil Gjakova,KOS,High,Male,Olympic,Loss,Video_Slider
vid_0202,Theerapong Silachai,THA,High,Male,Olympic,Loss,Video_Slider
vid_0133,Abdelkader Bouamer,ALG,High,Male,Paralympic,Win,Video_Slider
vid_0142,Djibrilo Iafa,POR,High,Male,Paralympic,Win,Video_Slider
vid_0150,Yasin Cimciler,TUR,High,Male,Paralympic,Loss,Video_Slider
vid_0156,Ganbat Dashtseren,MGL,High,Male,Paralympic,Loss,Video_Slider
